Pick,CDF-fitted dark time (s),number of binding sites,x,y,convex_hull
0,57.51191202314022,4.0,253.6044921875,171.17442321777344,0.8481484055519104
2,284.7450579574803,1.0,269.61456298828125,173.9325408935547,0.09183003753423691
3,32.419267252859115,8.0,250.9722137451172,175.82830810546875,0.49864527583122253
4,111.34063735341634,2.0,250.0447540283203,180.26406860351562,0.07612544298171997
7,6.355731067200817,39.0,273.1671447753906,188.68316650390625,3.8373258113861084
9,50.94591174000335,5.0,258.7823181152344,183.43386840820312,0.14481738209724426
10,68.64495861847807,4.0,254.13516235351562,181.90296936035156,0.3976522386074066
11,234.05093415255746,1.0,262.9117736816406,184.91183471679688,0.050056036561727524
12,62.969712516793095,4.0,272.015625,188.5196990966797,0.49223583936691284
13,269.6346184556184,1.0,270.9317626953125,187.8992462158203,0.1384480893611908
14,154.38113529875466,2.0,261.1297302246094,177.13291931152344,0.08778487890958786
15,278.2906428654375,1.0,275.97625732421875,184.97006225585938,0.048042431473731995
16,44.6431630147076,6.0,272.0427551269531,181.48532104492188,0.39214077591896057
17,85.67509978454977,3.0,276.9295654296875,182.6572723388672,0.24214166402816772
18,159.42543941617475,2.0,253.64657592773438,178.0165557861328,0.08546112477779388
19,160.9334599463638,2.0,266.103515625,192.49871826171875,0.08341887593269348
20,98.03159161911985,3.0,259.85302734375,182.8758544921875,0.16818802058696747
21,97.28959197524334,3.0,261.6470031738281,163.79269409179688,0.2329215407371521
22,193.9588086201356,1.0,276.0933837890625,182.84390258789062,0.05852145701646805
25,64.88809971759788,4.0,271.47808837890625,171.36917114257812,0.25410178303718567
26,31.404746539773942,8.0,260.30133056640625,168.33836364746094,0.7850070595741272
27,237.27250638441262,1.0,268.96478271484375,170.8720703125,0.05566474050283432
28,208.07152115675245,1.0,251.33251953125,179.76988220214844,0.10081160068511963
30,33.543990259500355,7.0,270.03192138671875,164.23129272460938,0.5603677034378052
31,235.56739040056615,1.0,265.0186462402344,164.94949340820312,0.05650465935468674
33,144.72174203510104,2.0,274.7369079589844,167.827392578125,0.11887401342391968
